"yr","country","beds","physicians","population","health_spend","mortality"
2024,"Paraguay",8.3,0,6929153,0,0
2021,"Paraguay",8.3,3.242,6684182,0,188.3585
2019,"Paraguay",8.3,0,6515058,0,146.8395
2024,"Peru",15.9,0,34217848,0,0
2021,"Peru",15.9,1.646,33155882,0,173.05
2019,"Peru",15.9,0,32449303,0,111.7655
2024,"Philippines",9.9,0,115843670,0,0
2021,"Philippines",9.9,0.786,113100950,0,169.0655
2019,"Philippines",9.9,0.735,110804683,0,133.829
2024,"Poland",65.4,0,36554707,0,0
2021,"Poland",65.4,3.391,36981559,351225080000,0
2019,"Poland",66.4,3.256,37965475,255186760000,108.0135
2024,"Portugal",34.5,0,10701636,0,0
2021,"Portugal",34.5,5.767,10361831,17524109000,72.5265
2019,"Portugal",33.9,5.45,10286263,14746566000,69.82
2024,"Qatar",12.5,0,2857822,0,0
2021,"Qatar",12.5,0,2504910,0,51.125
2019,"Qatar",12,0,2638657,0,41.9295
2024,"Romania",68.9,0,19069340,0,0
2021,"Romania",68.9,3.471,19122059,136549500000,123.011
2019,"Romania",68.4,3.162,19371648,113194900000,106.9725
2024,"Rwanda",18.98,0,14256567,0,0
2021,"Rwanda",18.98,0,13355260,0,235.658
2019,"Rwanda",18.98,0.116,12776103,0,232.4785
2024,"Saudi Arabia",22.4,0,35300280,0,0
2021,"Saudi Arabia",22.4,2.789,30784383,0,90.3825
2019,"Saudi Arabia",22.3,2.633,30063799,0,91.1295
2024,"Serbia",56.1,0,6587202,0,0
2021,"Serbia",56.1,2.837,6834326,0,106.9275
2019,"Serbia",55.9,0,6945235,0,91.537
2024,"Singapore",24.9,0,6036860,0,0
2021,"Singapore",24.9,2.596,5453566,17927182824.91,44.7245
2019,"Singapore",24.8,2.434,5703569,11304099184.86,44.3405
2024,"Slovak Republic",57,0,5422069,0,0
2021,"Slovak Republic",57,3.68,5447247,13459549000,0
2019,"Slovak Republic",57.8,3.567,5454147,10672285000,101
2024,"Slovenia",44.3,0,2126324,0,0
2021,"Slovenia",44.3,3.326,2108079,8549734000,0
2019,"Slovenia",44.9,3.224,2088385,6562995000,62.953
2024,"South Africa",23,0,64007187,0,0
2021,"South Africa",23,0.809,61502603,551898154000,347.129
2019,"South Africa",23,0.799,59587885,479638060000,288.9685
2024,"Spain",29.7,0,48807137,0,0
2021,"Spain",29.7,4.48,47443821,1.71189e+11,54.2805
2019,"Spain",29.7,4.404,47118501,1.46351e+11,52.688
2024,"Sri Lanka",41.5,0,21916000,0,0
2021,"Sri Lanka",41.5,1.192,22156000,0,103.8195
2019,"Sri Lanka",41.5,1.137,21803000,0,113.0445
2024,"Sweden",21.4,0,10569709,0,0
2021,"Sweden",21.4,0,10415811,7.97119e+11,47.9475
2019,"Sweden",23.4,4.291,10278887,7.07644e+11,47.9345
2024,"Switzerland",46.3,0,9034102,0,0
2021,"Switzerland",46.3,4.443,8704546,38208702826.68,44.936
2019,"Switzerland",46.9,4.35,8575280,31362329024.61,43.4165
2024,"Tajikistan",46.7,0,10590927,0,0
2021,"Tajikistan",46.7,2.133,9966908,4894632351,135.069
2019,"Tajikistan",46.7,2.064,9529966,0,145.097
2024,"Tanzania",7,0,68560157,0,0
2021,"Tanzania",7,0,62830412,0,222.5495
2019,"Tanzania",7,0,59174891,0,211.5715
2024,"Thailand",21,0,71668011,0,0
2021,"Thailand",21,0,71727332,289706723144.991,120.4865
2019,"Thailand",21,0.897,71522271,219088290390.87,125.6155
2024,"Trinidad and Tobago",30.2,0,1368333,0,0
2021,"Trinidad and Tobago",30.2,3.412,1367558,0,163.907
2019,"Trinidad and Tobago",30.3,4.108,1363985,0,153.7595
2024,"Tunisia",21.8,0,12277109,0,0
2021,"Tunisia",21.8,1.292,12048622,0,113.234
2019,"Tunisia",21.8,1.28,11875081,0,93.999
2024,"Turkiye",28.5,0,85518661,0,0
2021,"Turkiye",28.5,2.165,84147318,552949077352.282,92.413
2019,"Turkiye",27.5,1.926,82579440,356791554708.335,79.539
2024,"United Arab Emirates",13.8,0,10876981,0,0
2021,"United Arab Emirates",13.8,2.912,9575152,0,59.6185
2019,"United Arab Emirates",13.6,2.759,9445785,0,56.2525
2024,"United Kingdom",24.6,0,69226000,0,0
2021,"United Kingdom",24.6,3.171,66984000,2.29411e+11,79.0265
2019,"United Kingdom",25.4,2.942,66631000,1.74579e+11,69.4785
2024,"United States",28.7,0,340110988,0,0
2021,"United States",28.7,3.608,332099760,3.616915e+12,142.265
2019,"United States",27.7,3.518,330226227,3.035039e+12,108.1425
2024,"Uruguay",24.3,0,3386588,0,0
2021,"Uruguay",24.3,4.508,3396695,0,133.7385
2019,"Uruguay",24.8,0,3397206,0,112.677
2024,"Uzbekistan",39.8,0,36361859,0,0
2021,"Uzbekistan",39.8,2.805,34243696,40708807372128,162.254
2019,"Uzbekistan",39.8,2.788,32964701,24457632750430,157.201
2024,"Venezuela, RB",8.7,0,28405543,0,0
2021,"Venezuela, RB",8.7,0,28237826,0,182.007
2019,"Venezuela, RB",8.6,0,28938098,0,164.136
2024,"Viet Nam",26,0,100987686,0,0
2021,"Viet Nam",26,0,98935098,0,130.7755
2019,"Viet Nam",26,0,97173776,0,131.8035
2024,"Zambia",20,0,21314956,0,0
2021,"Zambia",20,0.297,19603607,0,309.43
2019,"Zambia",20,0.239,18513839,0,270.4755
2024,"Zimbabwe",17,0,16634373,0,0
2021,"Zimbabwe",17,0,15797210,0,391.3025
2019,"Zimbabwe",17,0,15271368,0,351.716
2024,"Low income",9.453,0,624608098,0,0
2021,"Low income",9.453,0,576076618,0,259.8249932102
2019,"Low income",9.453,0,544980983,0,241.524527758
2024,"Upper middle income",29.8314285714286,0,2818128105,0,0
2021,"Upper middle income",29.8314285714286,0,2796326198,0,125.40208516875
2019,"Upper middle income",29.5,0,2770250954,0,109.17622220925
2024,"Lower middle income",17.4156862745098,0,3120983658,0,0
2021,"Lower middle income",17.4156862745098,0,3006243027,0,216.42753774055
2019,"Lower middle income",17.1480392156863,0,2928617292,0,181.3618749051
2024,"High income",42.5413043478261,0,1417871275,0,0
2021,"High income",42.5413043478261,0,1391839631,0,93.869322497
2019,"High income",43.1869565217391,0,1389779202,0,77.3819177915
2019,"Afghanistan",0,0.214,37856121,0,248.0145
2020,"Afghanistan",0,0.254,39068979,0,264.32
2020,"Africa Eastern and Southern",0,0.2181326840624,694446100,0,267.8586272484
2020,"Africa Western and Central",0,0.249438422939791,474569351,0,317.38854076955
2020,"Albania",0,1.883,2837849,75970460000,85.409
2022,"Angola",0,0.244,35635029,0,273.262
2020,"Arab World",0,1.15456481502405,453723239,0,142.07334426225
2020,"Argentina",0,3.895,45191965,81410894575.84,117.664
2022,"Argentina",0,4.082,45407904,196885837286.23,113.6055
2020,"Australia",0,3.906,25649248,2.37469e+11,57.335
2020,"Austria",0,5.324,8916864,75603400000,0
2022,"Austria",0,5.508,9041851,88063220000,0
2020,"Azerbaijan",0,3.093,10093121,1705700000,234.25
2020,"Bangladesh",0,0.656,166298024,0,136.6625
2020,"Barbados",0,2.626,281698,0,105.659
