"yr","country","beds","physicians","population","health_spend","mortality"
2021,"El Salvador",1.2,2.913,6.255782,1946.5,213.4875
2019,"El Salvador",1.06,0,6.222318,1423.8,190.4295
2024,"Estonia",4.57,0,1.371986,0,0
2021,"Estonia",4.57,3.438,1.330932,4308.7,0
2019,"Estonia",4.76,3.469,1.326898,3314.4,102.62
2024,"Finland",3.61,0,5.637214,0,0
2021,"Finland",3.61,4.381,5.541017,37962,64.8705
2019,"Finland",3.97,3.567,5.521606,33915,65.526
2024,"France",5.91,0,68.516699,0,0
2021,"France",5.91,3.343,67.842811,454720,69.8695
2019,"France",6.06,3.31,67.382061,382241,69.392
2024,"Georgia",2.89,0,3.67385,0,0
2021,"Georgia",2.89,5.33,3.70861,2700.5,168.435
2019,"Georgia",2.89,7.503,3.720161,1437.9,146.184
2024,"Germany",8,0,83.51095,0,0
2021,"Germany",8,4.518,83.196078,639411,0
2019,"Germany",8.06,4.394,83.092962,501771,65.1015
2024,"Ghana",0.9,0,34.427414,0,0
2021,"Ghana",0.9,0.127,32.518665,0,252.3885
2019,"Ghana",0.9,0.103,31.258945,0,236.5205
2024,"Greece",4.2,0,10.388805,0,0
2021,"Greece",4.2,6.367,10.569207,17844,75.256
2019,"Greece",4.2,6.247,10.721582,15726,61.5595
2024,"Guatemala",0.44,0,18.406359,0,0
2021,"Guatemala",0.44,0,17.59865,22502.57095703,219.1675
2019,"Guatemala",0.26,0,17.103803,19121.66312411,168.0575
2024,"Honduras",0.64,0,10.825703,0,0
2021,"Honduras",0.64,0,10.289877,0,176.096
2019,"Honduras",0.64,0,9.943633,0,138.5795
2024,"Hungary",7.01,0,9.562314,0,0
2021,"Hungary",7.01,3.298,9.630932,6018178.239,0
2019,"Hungary",7,3.493,9.694824,4093436,117.172
2024,"Iceland",2.83,0,0.40461,0,0
2021,"Iceland",2.83,4.405,0.37252,394106.62708662,52.5025
2019,"Iceland",3.06,3.891,0.360563,326884.391085378,54.7975
2024,"India",0.53,0,1450.935791,0,0
2021,"India",0.53,0,1414.203896,0,219.869
2019,"India",0.48,0,1389.030312,0,166.591
2024,"Indonesia",1.04,0,283.487931,0,0
2021,"Indonesia",1.04,0.695,276.758053,585850000.174298,211.94
2019,"Indonesia",0.99,0.467,272.489381,397568047.898508,167.5745
2024,"Iran, Islamic Rep.",1.56,0,91.567738,0,0
2021,"Iran, Islamic Rep.",1.56,0,88.455488,0,115.0605
2019,"Iran, Islamic Rep.",1.7,0,87.051648,0,96.0505
2024,"Ireland",2.97,0,5.380257,0,0
2021,"Ireland",2.97,4.062,5.110585,22435.422,0
2019,"Ireland",2.96,3.343,4.976456,17052.448,56.9845
2024,"Israel",2.98,0,9.9744,0,0
2021,"Israel",2.98,3.654,9.3714,122495.410689628,0
2019,"Israel",2.99,3.542,9.054,103664.287168845,0
2024,"Italy",3.14,0,58.986023,0,0
2021,"Italy",3.14,4.097,59.133173,268703,0
2019,"Italy",3.17,4.051,59.729081,243479,48.5055
2024,"Jamaica",1.72,0,2.839175,0,0
2021,"Jamaica",1.72,0,2.837682,0,178.3475
2019,"Jamaica",1.78,0,2.823271,0,162.3735
2024,"Japan",12.98,0,123.975371,0,0
2021,"Japan",12.98,0,125.681593,105392900,49.9895
2019,"Japan",13.11,0,126.633,90137400,49.929
2024,"Jordan",1.47,0,11.552876,0,0
2021,"Jordan",1.47,0,11.066356,0,102.4345
2019,"Jordan",1.4,2.513,10.671891,0,88.68
2024,"Kazakhstan",6.06,0,20.592571,0,0
2021,"Kazakhstan",6.06,0,19.743603,2826109.7261246,199.675
2019,"Kazakhstan",6.06,3.948,19.209555,1536031.59796984,176.28
2024,"Kenya",1.4,0,56.432944,0,0
2021,"Kenya",1.4,0.098,53.219166,108838.6353528,365.1385
2019,"Kenya",1.4,0,51.202827,92023.5782469499,336.712
2024,"Korea, Rep.",12.43,0,51.751065,0,0
2021,"Korea, Rep.",12.43,2.517,51.769539,0,49.7825
2019,"Korea, Rep.",11.98,2.457,51.764822,0,39.5455
2024,"Kuwait",2.04,0,4.973861,0,0
2021,"Kuwait",2.04,0,4.360865,0,49.512
2019,"Kuwait",2.04,0,4.442316,0,45.6455
2024,"Kyrgyz Republic",4.41,0,7.224614,0,0
2021,"Kyrgyz Republic",4.41,2.145,6.851224,46324.211624,189.1135
2019,"Kyrgyz Republic",4.41,2.168,6.590211,33420.7,172.5615
2024,"Lao PDR",1.5,0,7.769819,0,0
2021,"Lao PDR",1.5,0.327,7.453194,0,174.677
2019,"Lao PDR",1.5,0.364,7.237636,0,174.219
2024,"Latvia",5.49,0,1.862441,0,0
2021,"Latvia",5.49,3.377,1.88449,2565.038,0
2019,"Latvia",5.72,3.263,1.913822,1584.955,147.5565
2024,"Lebanon",2.73,0,5.805962,0,0
2021,"Lebanon",2.73,0,5.718122,0,104.0735
2019,"Lebanon",2.73,2.617,5.794594,0,65.882
2024,"Lithuania",6.43,0,2.888055,0,0
2021,"Lithuania",6.43,4.497,2.80838,6922.859,0
2019,"Lithuania",6.69,4.481,2.811089,5245.836,137.102
2024,"Luxembourg",4.26,0,0.677717,0,0
2021,"Luxembourg",4.26,0,0.640064,7526.516,51.386
2019,"Luxembourg",4.66,0,0.620001,6093.801,52.507
2024,"North Macedonia",4.28,0,1.792179,0,0
2021,"North Macedonia",4.28,0,1.837114,0,101.105
2019,"North Macedonia",4.37,3.059,1.876262,0,68.9675
